"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAZ334_004";"THR connection";"";
"REFERENCE";"1770966";"";
"ATT_0173_1_02_BAF016_008";"8";"";
"TraceParts.PartVersion";"1.2.11";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_BAA020_012";"12.1";"";
"ATT_0173_1_02_BAC739_009";"0.2";"";
"ATT_0173_1_02_BAG640_013";"Print mounting";"";
"ATT_0173_1_02_BAC740_009";"0.14";"";
"ATT_0173_1_02_AAO663_005";"4046356459549";"";
"DESIGN";"PCB terminal block";"";
"TraceParts.InstanceId";"10-22122020-11844841DT9FDCNOLYP7IUMINNEG8W9";"";
"ATT_0173_1_02_BAB577_010";"5";"";
"ATT_0173_1_02_BAC677_009";"0.5";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"PTSM 0,5/ 3-2,5-V THR R44";"";
"ATT_0173_1_02_AAP798_003";"IEC 60998-2-2 (in parts)";"";
"ATT_0173_1_02_BAC487_017";"LCP";"";
"ATT_0173_1_02_BAC140_011";"V0";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC676_009";"0.5";"";
"TraceParts.PartNumber";"10-22122020-118448";"";
